	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
g1015	380.40445135559713	0.7564592957231419	0.21300069576243374	3.551440491850995	0.00038312861909624817	0.0036226529323193125
g1016	211.42204480279665	0.6918248136463039	0.21655880703607772	3.194627930929861	0.0014001121597027218	0.010276637587892734
g1017	570.7054381247578	0.11723715676028529	0.15350222184924114	0.763748923943441	0.44501687961322467	0.6308398548445628
g1018	3606.250826596139	0.08937989669169326	0.12175744583040948	0.7340815675140436	0.4628990268078257	0.6445564796021488
g1019	2888.5407094843754	0.5756075578506396	0.1133358037167277	5.078779511630032	3.7986725191321587e-07	1.2362059275624053e-05
g102	152.67069280635673	0.08949460911921771	0.20823622191596186	0.42977445660407315	0.6673597155468076	0.8020179637712238
g1020	209.46342898372745	0.6684382724280102	0.21550588966559334	3.101716957551578	0.0019240182539645068	0.01318179475266064
g1021	385.34227737634524	-0.2802263756871483	0.15832340769491624	-1.7699617496051812	0.0767335129359527	0.19145341132400623
g1022	4509.915812543929	-0.4109401889030142	0.08774607938772036	-4.683288322059473	2.823089744805903e-06	6.788002411874066e-05
g1023	283.0623119792237	0.17243112737281316	0.20852465456909633	0.8269100252396137	0.40828806071142876	0.5964964989656967
g1024	30261.062457903452	-0.0020168611285946423	0.12493833626663897	-0.016142852457153974	0.9871204266445024	0.9934363131386288
g1025	238.7324451207139	0.5491196701615457	0.19608685395873016	2.8003900265395525	0.0051040895588968325	0.02699082035463019
g1026	7480.16113605382	-0.479244020655724	0.09796719830758678	-4.891882476326879	9.9876078947171e-07	2.834828556583237e-05
g1027	3240.1279214680562	0.31305585562052335	0.3455124552571733	0.9060624323586493	0.3649028082397878	0.5554468149617738
g1028	233.9417513693626	0.4337000366941885	0.2125272059596592	2.0406800848664575	0.04128263613154993	0.12537566484038695
g1029	3757.7874765340184	-0.3444931726696556	0.09193193930213585	-3.7472631958461475	0.00017877447625701064	0.002014548202597657
g103	375.19880026957975	-0.07591077567711113	0.16790611977706732	-0.45210249500077515	0.6511951463602528	0.7902756349048221
g1030	705.150720590258	0.22893888244947094	0.16589664845158128	1.3800090875029896	0.1675838468365406	0.32954069052482304
g1031	502.19486543448664	-0.020939769891490108	0.15122201620267517	-0.13847037896535913	0.8898686782357664	0.9433457625217687
g1032	541.9546102560639	0.14933626773208936	0.16501227924419207	0.9050009394215766	0.3654648895104883	0.5554964427642122
g1033	173.31701275969303	0.5671718752166628	0.23908179808568697	2.372292160080661	0.01767810590071666	0.06853600799137032
g1034	3063.084184005702	-0.35111619460594873	0.107548091167823	-3.264736647515676	0.0010956589482147081	0.008475640429324843
g1035	2749.3645146668327	-0.549181412992401	0.09696469395193817	-5.663725533590711	1.4812126442596405e-08	7.987968188685918e-07
g1036	794.8490042712865	-0.502305185862709	0.13351559847276762	-3.7621460833668894	0.00016846159828206228	0.0019212765362984446
