	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Expression
g3030	63.34415193850699	1.7957028795918288	0.40046261529716093	4.4840711991538535	7.323220914123684e-06	0.00015106644235419073	UP
g3032	84.09952388103862	1.3358294644851256	0.29441925223255927	4.537167506389715	5.701482022555959e-06	0.0001222903104269815	UP
g3094	2960.7918976544206	2.21193504760791	0.19396371857252237	11.40385977277949	3.999837507011435e-30	1.5099386588968167e-26	UP
g3145	399.8496633573063	1.6922653691659906	0.20217897812511215	8.370135138969715	5.755219298281198e-17	3.620992141835253e-14	UP
g3154	184.25561426713685	1.1053743692770732	0.3763800437776629	2.9368570080990946	0.00331556943876098	0.01986710258940111	UP
g3157	791.8473032642938	1.0421091178388169	0.13047616393655165	7.986969316062794	1.3829649578634024e-15	5.220692715934344e-13	UP
g3164	259.591566107592	1.5636238696578235	0.5966364773461825	2.620731264391956	0.00877413964324038	0.04109476073602039	UP
g3244	37.28699698686733	1.8214987065990447	0.682043224793619	2.6706499535278225	0.007570454881869186	0.036827921622495076	UP
g3247	27.29164084684348	2.568440056299859	0.8019437146364722	3.2027684853969514	0.0013611335667363918	0.010055340928434206	UP
g3248	24.448114786900604	1.6557750224027783	0.6013158707799667	2.753586098193405	0.0058946263345293175	0.03021552316924001	UP
g346	2388.8477198378796	1.123184461867749	0.37613864434721306	2.986091641333558	0.002825679507077008	0.01748678711346837	UP
g3531	4813.6091576667895	1.5290907422962354	0.5449711749104041	2.8058194867785904	0.005018879973146432	0.026760271043259575	UP
g3625	199.36180221525555	1.042320796086799	0.21338200802234336	4.884764211130945	1.035526992604199e-06	2.9172495500603365e-05	UP
g3708	1303.6366054263822	1.266106798618252	0.19773109545796613	6.403174956805933	1.5217863639773734e-10	1.4730111600037396e-08	UP
g3740	179.94164408889014	1.2176832137241365	0.3796104970362456	3.2077174451998114	0.0013379287570688726	0.00994347085756179	UP
g3744	606.9941217934655	1.1112424770439828	0.262155969838698	4.238860086717535	2.2465761168585307e-05	0.00038902866243765836	UP
g3841	395.5804630316407	1.090651318677498	0.20362090874214908	5.356283524196528	8.495117016322376e-08	3.4857681235453226e-06	UP
g3850	464.47079546064447	1.7455371607276444	0.6591841647085674	2.6480265367105194	0.00809631696161046	0.038639186510846385	UP
g3889	42.89852390995194	1.2289943402415817	0.4105289342009636	2.993685067859212	0.0027563028986419356	0.01711355829337715	UP
g3932	638.6505915700221	1.282033988080712	0.1808381661185845	7.0893994094145985	1.3469526319060303e-12	2.1186442439355266e-10	UP
g4001	62.28194875676966	1.3358067922213674	0.4711920649639288	2.834951798951936	0.0045832600241201464	0.025295038875809285	UP
g403	31.57687296658773	1.8133200433803303	0.6907486689565343	2.6251517011528755	0.008661036948567308	0.040767349726735146	UP
