	Merozoite_1	Merozoite_2	Merozoite_3	IntraEri_1	IntraEri_2	IntraEri_3
g1079	934.844631626871	933.7790524223577	961.6379245440252	1137.6904513330644	1133.9609893224158	1149.9135096375933
g108	95.27079048426711	132.01703844591955	188.27858312125124	79.41992679462928	57.51976032794863	69.67999721756162
g1080	1115.4621719199606	1209.0828764986045	1040.593459401324	1661.8619681776177	1579.3282764331038	1661.8679336388445
g1081	591.4728242564917	558.6574675699278	570.9092520450845	633.3739161871684	654.0818460149587	623.4424195493499
g1082	3761.2114159934617	3704.5268959031814	3368.7694872447537	4304.560032268907	4157.856960848858	4325.966493923617
g1083	420.7793246388464	389.6112598038113	435.26769216203246	401.0706303128779	366.48304437521557	420.98331652276806
g1084	438.64259785464645	420.20057359006097	326.9568943449686	323.6362016881143	409.21200919026313	353.81954142695173
g1085	426.7337490441131	690.6745060158473	875.5966365585072	297.8247254798598	315.53697094188965	285.49443304417605
g1086	1792.281745985275	1717.831463680441	1544.694181951771	1971.5996826766718	1654.925675721265	1832.0032601783907
g1087	349.3262317756461	328.432632231312	315.82213942919566	520.2005205048217	499.60020399132526	530.535756592601
g1088	490.2476093669578	635.9357339772954	565.8479998106422	528.1425131842847	494.66993882035825	497.63131346208587
g1089	756.2118994688701	1043.2565964994617	1207.614783137918	957.0101178752828	892.3779959450317	940.6799624370818
g109	1141.2646776761164	1086.725621353606	912.0376526464912	1169.4584220509162	1107.666241743925	1149.3328429941134
g1090	97.25559861935601	112.69747184407765	175.11932731170143	59.56494509597196	108.46583376127457	80.71266344367554
g1091	909.0421258707153	584.416889705717	604.3135167924032	808.0977551353529	889.0911524977203	932.1635183327131
g1092	1369.5176132113397	1204.252984848144	1461.6896453069182	1234.9798616564854	1176.6899541374635	1242.0459504030357
g1093	950.7230967075822	861.3306776654507	717.6855668439093	1076.1400080672267	1046.859637968665	1022.3604036198901
g1094	285.8123714528013	244.7145102899972	239.90335591256206	214.43380234549906	266.2343192322194	235.55710170492358
g1095	932.8598234917821	848.4509665975561	726.7958208659054	746.5473118695152	793.7726925256911	845.2570773585877
g1096	273.90352264226794	302.67321009552285	534.4682359571003	438.79509554032677	391.1343702300507	410.1442058444807
g1097	424.74894090902416	217.3451242707212	250.02586038144656	355.404172405966	369.7698878225269	341.0448752703988
g1098	559.7158940950692	404.1009347551927	374.53266534872563	468.5775680883127	553.8331208719625	510.2124240708123
g1099	2488.949401401478	2147.691820571423	1955.6678633884808	2116.5410490768704	2138.0916624760334	2248.1476880054947
g11	853.4674980882262	808.2018695103854	878.6333878991725	812.0687514750844	783.912162183757	787.964635201926
g110	333.44776669493484	326.8226683478252	314.8098889823072	401.0706303128779	437.1501784924096	405.1117616009902
g1100	1038.0546546514936	1086.725621353606	1081.083477276862	1225.0523708071566	1237.4965579127233	1129.2030660201513
g1101	682.773998470581	548.9976842690069	584.0685078546343	1066.212517217898	1030.4254207321083	1105.2021780896578
g1102	730.4093937127145	608.5663479580194	599.252264557961	575.7944692610623	591.631820516043	586.6668654623035
g1103	1208.748154269139	1228.4024431004464	1063.8752196797584	1340.2112646593691	1367.3268740815217	1395.7290553773244
g1104	208.40485418433428	185.14584660098473	175.11932731170143	186.6368279673788	202.14087200964804	219.10488013966597
g1105	2508.797482752367	2001.1851071741219	2075.1134161213176	2702.263009187261	2636.048444743703	2634.871672562962
g1106	577.5791673108694	471.71941786163933	454.50045065291295	581.7509637706595	619.5699898181896	638.7333078276481
g1107	1204.7785379989612	1106.0451879554478	916.086654434045	1499.0511182486275	1700.9414839836238	1586.7683810821393
g1108	809.8017191162704	874.2103887333452	717.6855668439093	746.5473118695152	767.4779449472003	816.6108562802568
g1109	1718.8438449869857	2052.7039514457	1580.1229475928667	1747.238389481844	1694.3677970890012	1788.4532619174147
g111	1198.8241135936944	1149.514212809592	1053.752715210874	1582.4420413829885	1406.768995449258	1390.5030555860073
g1110	849.4978818180483	1088.3355852370928	909.0009013058259	823.9817404942787	838.1450790643944	860.7415211847125
g1111	192.5263891036231	159.38642446519555	142.72731301127112	125.0863847015411	110.10925548493023	114.39132876549698
g1112	3203.4803300334816	3329.405311050751	2913.256786144952	3766.4900282352937	3577.7290923984046	3649.8769653654426
g1113	504.1412663125801	365.461801551509	317.8466403229725	363.34616508542894	353.33567058597015	414.2088723488385
g1114	520.0197313932913	375.1215848524299	430.2064399275902	518.2150223349561	471.66203468917877	501.11531332296397
g1115	694.6828472811143	616.6161673754534	586.0930087484112	706.8373484722006	764.191101499889	707.83263840173
g1116	746.2878587934257	753.4630974718335	770.3225900821086	754.4893045489781	765.8345232235446	779.8353021932104
g1117	2538.5696047787005	3474.3020605645656	2822.1542459249918	3280.042976618189	3344.363207639299	3119.921875416321
g1118	958.6623292479378	1130.19464620775	970.7481785660212	1016.5750629712547	981.1227690224381	968.1648502284534
g1119	2165.4256753819877	2712.789143675298	2225.938732707696	3482.5637899444937	3878.4752678273935	3790.978959731005
g112	184.5871565632675	202.85544931933978	236.86660457189674	196.56431881670747	138.04742478707672	154.4573271655949
g1120	464.44510361080216	616.6161673754534	460.57395333424364	625.4319235077056	591.631820516043	606.9901979840923
g1121	686.7436147407587	666.525047763545	610.3870194737339	696.9098576228719	760.9042580525776	753.1246365931452
g1122	260.00986569664565	231.83479922210262	311.7731376416419	345.47668155663735	267.877740955875	280.0748777050324
g1123	127.02772064568947	98.20779689269624	109.32304826395234	129.05738104127258	142.97768995804375	125.81110608726402
